number	file_name	vulnerability	severity	is_sensitively_vulnerable	CWE/CVE/New	confidence_score	sensitive_function_responsible	standard_or_custom	explanation	code_snippet
51	livehindustan.com.js	Cache Poisoning via Overly Permissive Regex	High	true	CWE-79	N/A	const pageRoutes = ['/', '/national/', ... , new RegExp('^https?://.*\\.html$')];	standard	{The use of a dynamically constructed or overly permissive regular expression in workbox.routing.registerRoute with new RegExp('^https?://.*\\.html$') allows any URL matching the pattern to be cached using the NetworkFirst strategy. Since the regex matches any domain (via .*), an attacker could potentially craft a malicious URL that bypasses intended routing logic and gets cached, leading to cache poisoning. The sensitive function here is RegExp, which is a standard JavaScript function, and its misuse lies in allowing untrusted or overly broad patterns to be used in routing decisions.}	```const pageRoutes = ['/', '/national/', '/state/', '/international/', '/cricket/', '/sports/', '/astrology/', '/business/', '/gallery/', '/career/', '/health/', '/lifestyle/', '/blog/', '/gadgets/', '/auto/', '/crime/', '/entertainment', '/national', '/state', '/international', '/cricket', '/sports', '/astrology', '/business', '/gallery', '/career', '/health', '/lifestyle', '/blog', '/gadgets', '/auto', '/crime', new RegExp('^https?://.*\\.html$')];```
52	carwale.com.js	Insecure use of clients.openWindow with unvalidated URL	Medium	false	N/A	N/A	N/A	N/A	{The vulnerability arises from using clients.openWindow with a URL derived from notificationData.detailUrl, which is sourced from untrusted push notification data. However, clients.openWindow is not a sensitive function in the context of direct code execution or arbitrary script loading; it merely opens a new window or tab. The risk is more related to open redirect or phishing, not sensitive function misuse.}	```self.clients.matchAll().then(clients => { for (let i = 0; i < clients.length; i++) { const client = clients[i]; client.postMessage({ command```
53	carwale.com.js	Exposure of FCM token in URL without CSRF protection	Medium	false	N/A	N/A	N/A	N/A	{The vulnerability stems from including the FCM token in the URL via getRegistrationUrl, which is then used in a fetch call. While this is a security issue (token exposure), it is not caused by misuse of a sensitive JavaScript function like importScripts or eval. The function fetch is used correctly; the issue is in the URL construction logic.}	```fetch(getRegistrationUrl(isRegisteredToFcm, fcmToken), { method: 'GET', credentials: 'same-origin', headers: { 'Content-Type': 'application/json' } })```
54	carwale.com.js	Improper input validation in URL construction	Medium	false	N/A	N/A	N/A	N/A	{The vulnerability is due to concatenating the FCM token directly into the URL without sanitization or validation. This is a logic flaw in URL construction, not misuse of a sensitive JavaScript function. The function used (concatenation via + operator) is not inherently sensitive.}	```var gcmId = '?gcmid=' + fcmToken; var subsMasterId = isRegisteredToFcm ? '&subsmasterid=1' : '';```
55	carwale.com.js	Potential open redirect in customTracking.getTrackingUrl	Medium	false	N/A	N/A	N/A	N/A	{The vulnerability arises from passing untrusted data (notificationData.title, alertId, alertTypeId) into customTracking.getTrackingUrl, which may construct URLs that redirect to arbitrary domains. However, customTracking.getTrackingUrl is a custom function, and its misuse is not due to a standard sensitive function like importScripts or eval. The issue is in the function's implementation, not in the misuse of a known sensitive API.}	"```fetch(customTracking.getTrackingUrl(""WebNotification"", ""NotificationClick"", customTracking.getEventLabel(notificationData.title, notificationData.alertId, notificationData.alertTypeId)), { credentials: 'same-origin' })```"
56	an1.com.js	Cache Poisoning via Unvalidated Cache Match	High	false	N/A	N/A	N/A	N/A	{The vulnerability arises from the lack of validation or sanitization of the request being matched in the cache, not from misuse of a sensitive function. The code uses standard caching behavior with caches.match(), which is safe when used correctly. Since the request object is directly derived from the event and not constructed from untrusted input, there is no direct misuse of a sensitive function.}	```self.addEventListener('fetch', function (event) { event.respondWith(caches.match(event.request).then(function (response) { return response || fetch(event.request); })); });```
57	screener.in.js	XSS via Untrusted Push Data	High	true	CWE-79	10	self.registration.showNotification	standard	{The function self.registration.showNotification is used with data parsed from untrusted push message content (data.title, data.options). If an attacker controls the push payload, they can inject malicious content into the notification, potentially leading to XSS if the notification UI renders the content in a way that executes scripts (e.g., via rich content or if the browser interprets certain HTML/JS in notifications).}	```(function () { function listenToPush() { self.addEventListener('push', function (event) { var data = event.data.text(); data = JSON.parse(data); self.registration.showNotification(data.title, data.options); }); } function listenToNotificationClick() { self.addEventListener('notificationclick', function (event) { var url = event.notification.data; if (event.action === 'close') { event.notification.close(); } else { clients.openWindow(url); event.notification.close(); } }); } function listenPwaRequests() { self.addEventListener('fetch', function (event) { event.respondWith(fetch(event.request)); }); } function installImmediately() { self.addEventListener('install', function (event) { console.log('installing new service-worker without waiting'); self.skipWaiting(); }); } function setupServiceWorker() { listenToPush(); listenToNotificationClick(); installImmediately(); } setupServiceWorker(); })();```
58	screener.in.js	Open Redirect via Notification Click	Medium	true	CWE-601	10	clients.openWindow	standard	{The function clients.openWindow is called with a URL derived from event.notification.data, which is untrusted and potentially controlled by an attacker. This allows an attacker to redirect users to arbitrary websites, leading to phishing or malicious site redirection.}	```(function () { function listenToPush() { self.addEventListener('push', function (event) { var data = event.data.text(); data = JSON.parse(data); self.registration.showNotification(data.title, data.options); }); } function listenToNotificationClick() { self.addEventListener('notificationclick', function (event) { var url = event.notification.data; if (event.action === 'close') { event.notification.close(); } else { clients.openWindow(url); event.notification.close(); } }); } function listenPwaRequests() { self.addEventListener('fetch', function (event) { event.respondWith(fetch(event.request)); }); } function installImmediately() { self.addEventListener('install', function (event) { console.log('installing new service-worker without waiting'); self.skipWaiting(); }); } function setupServiceWorker() { listenToPush(); listenToNotificationClick(); installImmediately(); } setupServiceWorker(); })();```
59	rt.com.js	Missing Fetch Event Handling	Medium	false	New	N/A	N/A	N/A	{The vulnerability 'Missing Fetch Event Handling' is not caused by the misuse of a sensitive JavaScript function. It refers to the absence of meaningful logic within the fetch event handler, which may lead to missed opportunities for intercepting and modifying network requests, but does not stem from unsafe use of a function like importScripts, eval, or similar.}	```self.addEventListener('fetch', () => {});```
60	stripchat.com.js	Improper Validation of WebSocket Messages	High	true	N/A	N/A	WebSocket	standard	{The WebSocket API is used without validating incoming messages, allowing an attacker to inject malicious payloads that could be processed by the service worker, leading to unauthorized actions or data exposure. The code does not perform any checks on the data received via WebSocket, making it vulnerable to improper message validation.}	```if (this._transportIsOpen = !0```
61	stripchat.com.js	Insecure Data Storage in IndexedDB	Medium	true	N/A	N/A	IndexedDB	standard	{IndexedDB is used to store data without proper encryption or access controls, which could lead to sensitive data exposure if the device is compromised. The setItem method stores data directly without any sanitization or encryption, making it vulnerable to insecure data storage.}	N/A
62	stripchat.com.js	Potential SSRF via Unvalidated URL	High	true	N/A	N/A	fetch	standard	{The fetch function is used with user-controlled URLs without validation, allowing an attacker to redirect requests to internal or external services, potentially leading to SSRF. The code does not validate or sanitize the URL before passing it to fetch, making it vulnerable to SSRF attacks.}	```send(e```
63	logitech.com.js	Insecure Cache Handling	High	true	N/A	N/A	URL	standard	{The code constructs a URL using `new URL(e.url, location.href)` where `e.url` is derived from a request object. Although it checks for HTTP protocols and same-origin, if an attacker can manipulate the request URL (e.g., via a crafted fetch request), this could lead to unintended cache operations or bypasses, especially if the URL is not properly sanitized. The use of `new URL()` with untrusted input is a known vector for URL-based attacks, including cache poisoning or redirection.}	```const s = new URL(e.url, location.href); if (!s.protocol.startsWith('http')) return void 0; const n = s.origin === location.origin, { params: r, route: a } = this.findMatchingRoute({ event: t, request: e, sameOrigin: n, url: s });```
